id,age,prior_experience,education_level,region,treatment,salary,pre_salary
108,21,4.9,Bachelor's,East,1,61394.3,54650.47
109,31,4.9,High School,East,1,56019.98,41757.88
110,48,5.5,Master's,East,1,69090.17,65489.68
111,33,3.2,High School,West,0,36833.31,38766.03
112,32,3.4,Bachelor's,South,1,58895.92,46876.71
113,25,1.8,High School,West,0,32783.55,38972.02
114,31,2.4,High School,South,1,48654.44,36844.67
115,40,4.2,Bachelor's,East,0,56265.8,52155.83
116,45,5.4,Master's,North,0,64608.46,63847.76
117,42,2.7,Bachelor's,West,0,50568.39,42968.23
118,47,2.1,Master's,North,0,56728.46,52839.4
119,25,3.0,High School,East,0,40417.31,44397.89
120,38,4.2,Bachelor's,South,0,49814.04,46774.13
121,33,0.1,Bachelor's,North,0,34475.61,40099.64
122,30,0.0,High School,West,0,28044.11,26682.13
123,35,1.9,Bachelor's,North,0,41078.35,47785.59
124,32,0.6,Bachelor's,North,0,43334.09,43847.62
125,38,2.0,Bachelor's,West,0,45685.07,42582.71
126,41,2.7,Bachelor's,South,0,49597.11,54938.51
127,43,2.1,Bachelor's,West,1,48478.83,48726.5
128,42,5.9,High School,East,0,54873.55,50527.72
129,45,3.7,High School,South,0,38825.57,43702.44
130,45,3.6,Bachelor's,North,1,53302.76,52735.71
131,45,4.2,High School,West,0,40537.15,38617.43
132,30,0.7,High School,East,0,44585.83,32878.43
133,26,5.1,Bachelor's,West,0,51296.09,54832.76
134,46,2.8,Bachelor's,South,0,44919.93,44799.46
135,32,4.3,High School,East,0,42062.36,44759.18
136,30,0.9,Bachelor's,North,0,39825.75,45626.78
137,18,0.0,Bachelor's,South,0,34092.62,36312.92
138,42,4.6,High School,East,0,44623.4,43582.3
139,24,3.8,Bachelor's,South,0,54636.43,46117.66
140,26,1.2,Bachelor's,North,1,53159.14,34452.04
141,41,1.3,Bachelor's,East,0,36226.2,45015.73
142,18,5.3,Bachelor's,West,1,62030.88,53797.06
143,29,0.6,High School,West,0,29105.89,31990.32
144,25,6.3,Bachelor's,North,0,57120.74,52952.91
145,41,1.2,High School,East,1,50248.53,32857.99
146,48,4.3,Master's,North,1,67085.94,62286.38
147,28,2.3,Master's,North,0,51587.51,51903.29
148,36,4.2,Bachelor's,South,1,69507.35,50716.74
149,34,1.9,High School,West,0,40116.35,36530.11
150,25,2.7,High School,North,0,40893.65,33154.47
151,20,3.1,High School,South,0,49036.17,41799.68
152,20,1.0,Bachelor's,North,0,43435.93,35979.21
153,18,4.5,High School,North,0,33512.31,39741.54
154,44,2.0,Bachelor's,North,0,48084.05,39803.14
155,22,2.5,High School,West,0,29668.36,36799.1
156,27,1.0,Master's,East,0,50293.93,46590.19
157,24,0.0,High School,West,0,21431.28,29995.1
158,43,2.6,Master's,South,0,50519.56,49178.98
159,26,7.8,Master's,East,1,76656.77,72421.98
160,45,4.6,Bachelor's,South,0,47857.03,55136.11
161,24,3.0,Bachelor's,North,1,55140.18,46304.75
162,26,2.5,Bachelor's,East,0,50585.46,43586.53
163,25,3.0,Bachelor's,South,0,43565.03,44682.57
164,29,4.1,High School,North,0,45008.42,41059.42
165,19,0.6,High School,South,0,27086.87,26199.02
166,18,5.2,Bachelor's,South,1,62738.43,49761.57
167,33,4.4,Bachelor's,West,1,62911.48,54640.48
168,40,4.4,Bachelor's,North,1,56326.47,52407.25
169,40,3.9,High School,West,1,45072.25,48237.1
170,47,3.0,High School,East,0,41577.09,37803.22
171,41,4.3,High School,North,1,58652.57,41453.95
172,22,4.2,High School,West,0,42155.56,40968.4
173,20,2.3,High School,West,1,44589.19,35623.34
174,29,1.9,High School,East,0,36336.77,33060.18
175,25,3.2,High School,South,0,39888.54,40683.95
176,39,6.1,Master's,South,0,64508.63,63416.42
177,44,0.5,High School,South,0,18924.13,29460.34
178,20,0.1,Bachelor's,East,0,32849.33,43304.6
179,18,3.3,High School,West,0,35762.41,47486.33
180,20,3.1,Master's,North,0,55059.66,58966.31
181,22,3.3,Bachelor's,East,1,58969.44,50132.5
182,32,3.5,High School,South,0,43644.62,43547.08
183,31,2.6,Bachelor's,South,0,46948.7,53225.66
184,20,6.0,High School,North,1,51435.51,51041.28
185,18,0.0,Bachelor's,East,0,45235.02,35659.26
186,22,1.3,High School,South,0,40388.61,35469.09
187,43,2.8,Master's,East,1,57089.48,55904.98
188,40,0.0,Bachelor's,West,1,49663.53,34021.13
189,48,2.6,High School,East,1,44967.75,36660.28
190,31,6.3,Bachelor's,West,0,57663.14,61301.57
191,24,3.0,High School,North,0,44391.87,31706.03
192,44,3.5,Master's,West,1,76034.73,50498.29
193,26,0.5,Bachelor's,West,0,43195.4,38794.37
194,32,1.8,Bachelor's,North,1,54776.51,44814.72
195,32,2.2,High School,South,0,35049.72,31169.47
196,43,2.4,Master's,North,1,63004.38,51692.84
197,27,5.6,Bachelor's,East,0,61488.72,59415.07
198,45,4.1,High School,North,1,52122.6,42574.61
199,30,0.8,High School,East,0,27900.69,36156.36
200,36,3.5,High School,South,0,32380.58,38131.54
201,48,4.0,Master's,East,0,59554.57,53760.33
202,49,5.3,High School,North,1,57077.33,49295.5
203,24,6.2,Bachelor's,North,0,53253.7,58077.06
204,34,1.0,High School,South,0,38039.51,28257.62
205,37,1.4,High School,North,1,42025.97,30996.64
206,46,0.5,Bachelor's,South,0,38781.31,45758.32
207,49,2.5,Master's,South,1,62512.56,48801.78
208,21,3.9,Bachelor's,North,0,48043.39,53437.31
209,47,5.0,Master's,West,1,71103.33,58087.25
210,22,2.8,Bachelor's,East,0,52301.87,46387.3
211,40,2.4,High School,West,0,31368.51,38378.37
212,24,3.3,High School,South,1,52353.15,31496.08
213,30,1.3,Bachelor's,East,1,52849.94,36049.13
214,32,7.2,Master's,West,1,77306.05,66945.33
215,28,0.0,Master's,North,1,59359.22,42102.77
216,46,3.4,High School,West,0,40354.93,44186.33
217,21,7.0,High School,East,0,53542.78,44575.52
218,30,3.0,High School,East,0,42620.12,41261.02
219,49,2.6,Master's,East,1,60337.94,47295.12
220,24,2.3,Master's,East,0,53351.24,50491.58
221,44,2.6,Bachelor's,West,1,54663.71,41542.49
222,36,5.7,High School,North,0,46573.68,54709.72
223,39,0.0,Bachelor's,North,1,46389.69,32642.03
224,45,6.1,Bachelor's,East,0,58556.0,55811.76
225,19,0.2,High School,North,0,30864.48,23692.66
226,27,2.5,Bachelor's,West,1,57372.81,51898.28
227,30,2.1,High School,North,1,46336.95,37905.13
228,47,4.2,High School,South,0,34510.71,43147.89
229,42,0.0,Master's,North,0,45156.84,50897.25
230,38,3.9,Bachelor's,East,0,50090.73,50289.69
231,23,7.0,Bachelor's,North,0,60358.84,59878.29
232,45,0.3,Bachelor's,North,1,45852.31,39426.9
233,45,3.4,High School,North,0,34160.89,42454.54
234,29,1.7,Bachelor's,North,1,56151.14,41130.23
235,29,3.9,Bachelor's,South,1,58187.29,48842.85
236,37,3.0,Bachelor's,West,1,57971.11,50241.34
237,47,1.7,Bachelor's,East,0,41743.78,44209.49
238,47,4.0,High School,East,0,41896.92,41543.02
239,28,6.6,High School,North,0,47579.66,44197.91
240,49,2.6,Bachelor's,West,0,41014.16,51792.2
241,43,4.4,High School,North,1,55687.21,40554.18
242,40,0.4,Bachelor's,South,1,46224.76,43148.95
243,45,1.1,High School,West,0,34081.14,34003.01
244,42,3.9,High School,West,1,53886.74,36526.2
245,24,6.0,High School,West,0,44970.63,53009.1
246,47,3.7,Master's,West,1,60114.25,57118.16
247,18,2.4,High School,North,0,49252.08,42541.38
248,18,3.0,Bachelor's,South,0,44356.89,46270.37
249,42,0.5,Bachelor's,West,0,42614.64,42316.2
250,44,4.2,High School,East,1,62324.41,35549.89
251,47,4.8,Bachelor's,East,0,56243.54,50399.14
252,42,2.1,Bachelor's,South,0,42785.24,39208.03
253,37,2.1,Bachelor's,East,1,53844.17,42800.86
254,30,3.5,Master's,North,1,61432.23,57387.25
255,26,2.1,High School,North,0,40788.16,33881.68
256,20,2.9,High School,South,0,41434.56,42155.37
257,24,7.2,Master's,West,1,74026.2,63173.55
258,23,2.5,High School,East,1,42306.97,41040.95
259,25,2.3,Bachelor's,East,0,38243.79,50139.03
260,44,1.7,Bachelor's,South,1,58047.32,47154.1
261,26,4.5,High School,South,1,54067.02,42123.24
262,47,2.6,Bachelor's,East,1,56987.58,37298.19
263,22,1.7,High School,West,0,30989.02,37428.67
264,18,5.6,High School,South,1,49610.31,46299.06
265,36,5.8,High School,North,1,62330.69,43486.43
266,27,1.8,Master's,East,1,60607.65,48174.88
267,29,0.0,High School,South,0,34536.17,35737.7
268,41,5.0,Bachelor's,South,1,61115.42,48450.64
269,32,1.6,Master's,South,0,48708.13,51673.24
270,44,4.6,Bachelor's,East,1,65310.24,52671.83
271,39,0.0,Bachelor's,North,0,41661.74,36570.45
272,49,4.8,Bachelor's,North,1,66343.41,54978.13
273,49,0.6,High School,East,0,30256.96,38328.98
274,41,4.5,Bachelor's,South,1,64457.32,50316.11
275,26,3.0,Bachelor's,East,0,52631.14,46027.28
276,37,1.1,Master's,East,0,47752.5,50788.26
277,34,2.2,Master's,South,1,58990.34,55272.97
278,47,4.4,Master's,East,0,64831.65,57689.17
279,34,3.2,Master's,West,0,51363.14,53378.51
280,43,4.2,Bachelor's,North,0,53653.86,41729.41
281,37,7.0,Bachelor's,West,1,68566.53,55887.96
282,29,0.0,Master's,West,1,45792.17,40442.75
283,47,6.2,High School,West,1,64346.25,51338.5
284,24,3.2,Master's,East,0,40836.87,53624.39
285,19,1.2,Bachelor's,South,0,31686.66,40467.91
286,20,0.3,Bachelor's,East,1,51654.77,38863.77
287,34,2.6,Bachelor's,North,0,48500.63,42319.29
288,22,4.8,Master's,East,1,66342.0,65612.99
289,34,2.7,High School,East,0,38973.82,43292.78
290,41,6.0,Bachelor's,East,0,43409.78,62472.43
291,34,0.1,Bachelor's,East,0,41827.82,41033.67
292,44,3.0,High School,West,0,40176.09,38882.09
293,34,0.5,Bachelor's,South,0,39257.43,45958.92
294,19,3.7,Bachelor's,North,1,59286.0,46376.13
295,19,4.8,Bachelor's,North,0,54787.6,48915.16
296,45,2.2,High School,North,0,36330.92,34193.95
297,39,0.0,Bachelor's,East,0,28629.72,40091.49
298,40,3.4,Bachelor's,North,1,69175.35,45151.58
299,22,3.9,Bachelor's,West,1,65624.44,49078.51
300,49,3.8,High School,South,0,35001.05,34992.58
301,18,5.5,Master's,East,0,59689.01,63424.39
302,18,0.9,Bachelor's,East,0,39393.51,34631.59
303,36,4.4,Bachelor's,West,1,66475.54,47471.36
304,47,5.4,Bachelor's,North,0,43358.7,59068.67
305,19,0.0,High School,East,1,37504.96,34721.27
306,38,3.6,Bachelor's,East,0,40114.73,50297.25
307,29,2.0,Bachelor's,West,0,42549.44,45102.65
308,43,2.8,Bachelor's,West,0,44148.36,44276.16
309,49,3.7,Bachelor's,North,0,49484.53,46008.39
310,23,2.0,Bachelor's,South,0,41052.26,42551.03
311,49,1.6,High School,South,0,31190.63,28745.38
312,40,3.1,Bachelor's,North,1,60303.2,48309.79
313,21,0.8,High School,South,1,44749.89,32595.32
314,40,0.8,High School,West,0,35242.04,28666.31
315,28,4.4,Master's,West,1,67191.74,64474.73
316,41,0.7,Bachelor's,West,0,37248.54,42527.65
317,44,4.3,Bachelor's,South,1,60403.61,53667.37
318,34,3.9,Bachelor's,South,0,52281.36,47750.64
319,48,0.0,Master's,East,1,44116.1,44994.68
320,23,1.6,Bachelor's,East,0,44905.17,45309.49
321,41,5.4,Bachelor's,East,0,55710.35,54811.13
322,22,1.0,High School,South,0,33423.76,39407.6
323,37,2.1,Master's,East,1,60467.01,50484.85
324,19,3.9,Master's,West,1,53941.77,54681.76
325,23,4.6,Master's,South,1,66501.08,61337.01
326,39,2.5,High School,North,1,56437.96,32441.41
327,28,1.8,High School,South,1,45479.45,39097.19
328,48,5.8,High School,East,0,45997.77,42197.15
329,33,6.5,High School,South,0,49517.93,52054.34
330,33,5.0,Master's,East,1,71647.01,57406.91
331,18,3.2,High School,East,1,52806.01,41506.34
332,26,1.4,High School,North,1,43006.0,37829.37
333,45,1.3,High School,North,0,36141.93,34513.68
334,44,4.0,High School,West,0,50518.34,37201.52
335,23,3.8,High School,East,1,56541.64,37812.9
336,33,5.8,Bachelor's,South,1,77111.09,52485.36
337,46,4.3,Bachelor's,North,1,57618.85,43319.97
338,20,0.0,High School,North,0,38380.95,34509.91
339,37,5.1,Bachelor's,East,0,49358.32,53740.43
340,45,1.0,Bachelor's,South,0,42779.47,36457.93
341,44,2.2,High School,North,0,40358.56,42422.7
342,21,3.5,Bachelor's,North,1,55947.32,45694.69
343,36,7.0,Bachelor's,South,1,69413.83,60002.29
344,43,9.2,Bachelor's,North,1,80211.82,62298.92
345,20,4.2,Bachelor's,South,1,57088.98,42526.96
346,48,2.6,High School,East,0,46247.74,32342.24
347,36,4.1,Master's,North,1,60284.05,55506.04
348,37,4.8,Master's,East,1,79024.39,62993.19
349,49,2.4,Master's,South,0,57082.62,53586.13
350,24,6.6,High School,East,1,59322.64,50360.82
351,37,3.5,Master's,East,0,53367.08,47459.89
352,26,4.0,Master's,East,1,64451.32,62080.34
353,18,4.3,Master's,West,0,57316.57,58794.72
354,25,3.8,High School,South,1,51287.04,40922.33
355,49,4.7,Bachelor's,South,0,58309.77,56629.69
356,24,1.8,Master's,South,0,60139.75,55389.99
357,35,1.9,Bachelor's,South,1,54647.09,48318.36
358,25,0.8,Bachelor's,South,0,36170.93,39411.65
359,18,3.9,Master's,North,0,53908.38,52686.09
360,28,4.6,Bachelor's,North,1,60758.17,55755.69
361,45,3.9,Bachelor's,North,0,44596.03,44239.78
362,42,6.3,Bachelor's,East,1,61152.25,64689.03
363,42,3.0,Master's,East,0,64452.06,54112.0
364,35,4.3,High School,South,0,44525.52,38656.46
365,40,0.8,Bachelor's,West,1,46284.13,35472.53
366,48,2.2,Bachelor's,South,1,58760.42,39489.58
367,47,4.4,Bachelor's,North,0,45281.5,51761.45
368,27,4.7,Bachelor's,South,1,56614.55,52074.43
369,20,2.4,Master's,East,0,48220.99,47256.31
370,24,2.9,Master's,South,1,71842.97,52274.18
371,45,0.0,High School,North,0,28735.6,24528.26
372,33,2.3,Bachelor's,South,1,42649.29,47257.21
373,43,4.8,High School,East,1,60392.63,44181.63
374,33,4.2,High School,West,1,50919.32,41086.39
375,42,4.0,Bachelor's,North,1,50756.95,44847.56
376,37,3.1,Master's,South,1,62715.22,53099.38
377,45,3.0,Master's,East,1,66647.4,52341.09
378,34,1.7,High School,North,0,37058.32,36370.91
379,19,4.4,High School,North,0,52185.05,43868.07
380,18,3.8,Bachelor's,East,0,45262.0,52568.24
381,33,4.0,Bachelor's,South,1,60185.71,48061.69
382,47,1.9,High School,South,1,42345.94,28258.35
383,29,0.0,Master's,South,1,47289.04,48964.37
384,22,5.2,Master's,North,0,65010.55,56855.87
385,22,2.0,Bachelor's,West,0,46443.32,39572.33
386,49,1.3,Master's,North,0,50241.74,48727.53
387,44,4.4,High School,South,1,55294.82,44409.08
388,40,2.2,Bachelor's,North,0,41220.56,42476.65
389,26,5.1,Bachelor's,West,0,48331.14,51145.23
390,26,4.2,High School,North,0,42890.27,41035.89
391,20,4.4,Master's,East,1,73907.47,63866.16
392,36,0.3,Bachelor's,South,0,46844.65,38889.29
393,33,5.4,Bachelor's,South,0,58248.83,50328.15
394,33,3.5,High School,South,1,50713.38,36668.87
395,20,2.3,High School,North,0,38133.26,35896.46
396,37,3.3,High School,North,0,39918.3,40851.43
397,41,0.0,Bachelor's,North,1,42870.28,39935.92
398,39,3.8,Bachelor's,South,1,59575.15,49896.63
399,41,0.9,High School,North,0,26149.64,29332.51
400,18,0.3,Bachelor's,South,1,48263.59,37204.23
401,41,0.0,Bachelor's,North,1,56180.53,40935.63
402,37,5.2,Bachelor's,South,0,57790.43,49015.63
403,28,1.7,Bachelor's,East,0,38608.82,41236.99
404,34,6.1,Master's,North,1,72840.22,65689.85
405,25,1.9,Bachelor's,South,1,49613.31,47201.13
406,21,0.0,Bachelor's,East,0,37687.43,37228.34
407,23,0.8,High School,East,1,47506.39,30755.17
408,25,5.5,High School,West,0,49679.91,41211.53
409,37,2.7,High School,North,1,60485.33,40202.56
410,47,1.9,Bachelor's,South,1,59672.66,48975.12
411,20,3.3,High School,West,0,40980.11,50160.62
412,33,4.0,High School,North,0,45396.45,43545.78
413,47,5.2,Bachelor's,East,0,52692.18,53396.48
414,42,5.9,High School,North,1,52053.47,44020.76
415,20,2.3,High School,South,0,43370.27,29384.57
416,42,0.3,High School,East,1,46088.67,31607.84
417,46,2.2,Bachelor's,West,0,43313.94,54001.36
418,35,3.5,High School,North,0,41931.36,45583.25
419,49,1.1,Bachelor's,North,0,47422.14,45766.26
420,31,1.1,Bachelor's,West,1,55488.85,42282.41
421,35,3.7,Bachelor's,North,0,41747.22,50538.09
422,19,2.9,Bachelor's,North,0,47926.19,37005.01
423,39,3.1,Master's,North,0,53358.62,57350.04
424,20,1.5,High School,East,0,40014.03,32182.64
425,33,2.5,High School,East,0,42772.81,34693.09
426,46,1.2,High School,South,0,40047.64,32306.97
427,26,4.8,High School,North,1,48751.72,42971.98
428,21,5.1,High School,South,1,51290.94,42429.46
429,18,0.0,High School,East,1,45570.41,30055.49
430,21,1.1,Bachelor's,North,1,48464.71,39066.89
431,18,0.0,Bachelor's,South,0,30413.66,38401.29
432,31,1.7,High School,North,1,47762.84,29151.29
433,38,2.8,Bachelor's,North,0,43763.28,45543.77
434,33,0.1,High School,West,0,39251.08,25914.82
435,37,1.2,High School,South,0,34949.76,31034.2
436,41,1.0,Bachelor's,East,1,51777.55,41573.6
437,49,3.4,High School,South,0,38397.38,33784.01
438,25,3.1,High School,South,0,47370.24,36010.37
439,24,1.6,Bachelor's,South,0,44462.35,45075.86
440,20,3.4,Master's,West,1,63018.43,49547.29
441,34,1.9,Bachelor's,North,0,39749.5,50811.47
442,49,2.5,High School,East,0,37002.7,42317.63
443,18,6.3,Master's,West,1,69152.48,61921.89
444,33,5.7,Bachelor's,East,0,60187.15,51951.16
445,29,0.4,Bachelor's,West,0,30160.8,40007.76
446,44,4.7,Master's,North,1,68280.82,53310.15
447,36,4.6,Bachelor's,East,0,54919.05,43791.43
448,39,0.7,High School,South,1,43821.02,30262.66
449,40,4.6,Bachelor's,West,0,48326.25,51263.8
450,39,6.1,Bachelor's,East,1,69528.89,56677.71
451,31,0.8,Bachelor's,North,1,45834.53,37941.04
452,47,1.2,Bachelor's,East,1,51383.06,46695.79
453,23,5.0,Master's,West,1,73365.18,54019.44
454,23,3.5,Master's,North,1,67943.54,50946.95
455,30,4.1,Master's,South,1,63933.66,59246.54
456,36,3.7,Master's,West,1,72031.01,51453.41
457,39,3.8,Master's,West,1,66777.65,51598.72
458,25,0.3,High School,North,1,44756.14,31393.42
459,44,5.1,High School,West,0,52929.41,41085.91
460,44,5.3,Bachelor's,East,0,59605.14,53367.66
461,19,2.5,Master's,South,0,58224.3,49700.57
462,38,2.9,Bachelor's,East,1,57702.54,43253.35
463,47,0.0,Bachelor's,North,1,51969.68,29590.78
464,18,4.0,High School,West,1,53153.51,42558.25
465,45,4.1,High School,South,0,36385.72,37311.24
466,32,2.9,Bachelor's,North,1,58140.57,46027.03
467,49,5.2,High School,East,1,57027.93,43551.58
468,18,2.3,High School,West,0,39914.18,36073.97
469,22,4.1,High School,West,1,51747.65,41701.3
470,45,1.0,High School,North,0,29074.74,33774.51
471,46,3.0,Bachelor's,East,1,60141.22,44088.96
472,33,2.7,High School,West,0,31387.51,43070.79
473,36,3.5,Bachelor's,East,1,65645.94,41110.4
474,21,2.3,High School,South,0,35625.75,35993.64
475,20,2.7,Master's,West,1,64438.81,56444.92
476,49,4.7,High School,South,0,46749.07,46007.09
477,34,2.1,Bachelor's,West,0,47332.85,40400.66
478,49,0.0,Bachelor's,North,1,40955.08,34767.02
479,34,6.5,High School,West,1,63617.94,45472.83
480,29,5.8,Master's,West,1,73804.49,64796.91
481,45,0.4,Bachelor's,East,0,36070.12,36240.31
482,47,4.4,Bachelor's,East,1,57389.91,52220.49
483,46,2.0,High School,South,0,34311.89,37057.21
484,31,3.5,Master's,South,1,59087.21,64973.57
485,38,3.6,Bachelor's,South,1,67376.68,50053.01
486,23,2.5,High School,West,0,45024.31,34255.42
487,20,1.4,High School,West,0,36555.91,28359.4
488,45,1.6,Master's,South,1,58739.76,48696.59
489,26,1.2,Bachelor's,North,0,40517.31,41123.66
490,22,1.3,Bachelor's,North,0,45799.4,33057.2
491,41,2.9,Bachelor's,West,1,65386.06,43844.58
492,46,1.6,Bachelor's,North,1,49853.46,43989.41
493,34,4.4,High School,North,1,47504.38,41070.58
494,31,6.0,High School,South,0,55661.68,51874.5
495,38,1.8,Bachelor's,North,0,34583.99,37166.57
496,48,3.5,Master's,North,0,50393.77,58207.53
497,20,4.0,High School,West,0,40763.82,45655.56
498,45,3.9,Bachelor's,West,1,52029.85,53525.99
499,18,3.2,Bachelor's,West,1,63016.48,41336.57
500,37,4.5,Bachelor's,North,0,55740.62,52758.21
501,48,4.0,Master's,South,0,54019.53,54324.98
502,46,0.5,Bachelor's,East,1,55972.1,33875.43
503,38,4.7,High School,West,1,61461.4,42444.53
504,49,4.8,Master's,West,0,58757.89,55780.09
505,40,1.5,Bachelor's,West,1,50166.94,46183.0
506,18,3.1,Master's,South,0,65525.64,56352.25
507,49,4.4,Bachelor's,East,1,64705.78,46590.22
508,20,2.6,Master's,East,1,64025.74,49903.11
509,49,5.1,High School,West,1,62255.6,43777.21
510,35,7.7,High School,North,1,64692.89,52810.38
511,42,1.4,Master's,West,1,56755.98,53225.51
512,27,0.2,High School,West,1,41114.53,33363.13
513,48,3.6,High School,North,1,56016.18,41005.57
514,39,4.4,Bachelor's,North,0,41368.45,50157.4
515,43,2.5,Master's,West,0,51174.65,45406.58
516,20,5.9,High School,South,0,54634.85,52867.99
517,25,0.3,Master's,South,1,53409.02,44111.61
518,31,4.4,Bachelor's,North,1,68888.05,57419.36
