id,age,prior_experience,education_level,region,treatment,salary
60,22,3.6,Master's,North,0,58640.05
61,36,5.7,Bachelor's,North,1,77408.01
62,24,0.4,Bachelor's,South,0,37443.47
63,38,0.0,Bachelor's,South,1,50279.19
64,26,3.4,Bachelor's,East,1,55322.83
65,24,6.6,Bachelor's,East,1,62933.23
66,35,5.5,Bachelor's,North,1,61052.1
67,21,3.4,Bachelor's,North,0,37845.6
68,42,2.0,Master's,West,0,57817.36
69,45,4.6,Bachelor's,North,1,50692.08
70,31,1.1,Bachelor's,East,1,49839.58
71,35,4.0,Master's,South,0,50967.51
72,43,4.0,High School,East,1,47610.92
73,26,5.1,High School,West,1,62243.87
74,43,8.5,Bachelor's,West,1,74563.3
75,38,3.8,Bachelor's,South,1,54527.52
76,19,2.0,Master's,East,1,57998.63
77,37,2.9,Bachelor's,West,1,53019.15
78,45,0.0,Bachelor's,East,0,37782.27
79,32,1.6,Bachelor's,West,1,53696.18
80,45,2.2,High School,South,0,46022.18
81,24,2.0,Bachelor's,West,0,34273.97
82,29,3.3,Master's,East,0,54740.07
83,46,1.4,High School,East,0,32487.64
84,25,5.2,Bachelor's,West,0,58458.93
85,32,3.0,Bachelor's,North,0,48775.33
86,20,3.0,High School,South,0,41896.01
87,31,2.3,High School,South,0,38758.06
88,34,3.3,Master's,West,0,50271.19
89,21,4.7,High School,West,0,50006.92
90,35,1.3,High School,North,0,37789.74
91,25,1.7,High School,South,1,49628.95
92,21,2.4,Bachelor's,North,0,51497.89
93,19,0.3,Bachelor's,South,0,41013.15
94,47,1.4,Bachelor's,West,1,59489.41
95,23,2.0,High School,South,0,38030.87
96,39,4.7,Master's,South,0,58151.04
97,27,3.5,High School,South,1,50542.35
98,21,3.4,High School,North,0,40042.32
99,39,4.7,Bachelor's,North,1,59508.43
100,46,2.7,High School,South,0,46335.21
101,48,3.8,Master's,East,1,67824.27
102,35,2.8,Master's,North,0,53854.36
103,43,3.5,High School,West,0,42533.55
104,29,1.8,Master's,West,1,75402.72
105,19,0.0,Bachelor's,South,1,42341.38
106,27,2.7,Master's,West,0,48969.13
107,47,5.8,High School,North,1,50633.63
108,21,4.9,Bachelor's,East,1,61394.3
109,31,4.9,High School,East,1,56019.98
110,48,5.5,Master's,East,1,69090.17
111,33,3.2,High School,West,0,36833.31
112,32,3.4,Bachelor's,South,1,58895.92
113,25,1.8,High School,West,0,32783.55
114,31,2.4,High School,South,1,48654.44
115,40,4.2,Bachelor's,East,0,56265.8
116,45,5.4,Master's,North,0,64608.46
117,42,2.7,Bachelor's,West,0,50568.39
118,47,2.1,Master's,North,0,56728.46
119,25,3.0,High School,East,0,40417.31
120,38,4.2,Bachelor's,South,0,49814.04
121,33,0.1,Bachelor's,North,0,34475.61
122,30,0.0,High School,West,0,28044.11
123,35,1.9,Bachelor's,North,0,41078.35
124,32,0.6,Bachelor's,North,0,43334.09
125,38,2.0,Bachelor's,West,0,45685.07
126,41,2.7,Bachelor's,South,0,49597.11
127,43,2.1,Bachelor's,West,1,48478.83
128,42,5.9,High School,East,0,54873.55
129,45,3.7,High School,South,0,38825.57
130,45,3.6,Bachelor's,North,1,53302.76
131,45,4.2,High School,West,0,40537.15
132,30,0.7,High School,East,0,44585.83
133,26,5.1,Bachelor's,West,0,51296.09
134,46,2.8,Bachelor's,South,0,44919.93
135,32,4.3,High School,East,0,42062.36
136,30,0.9,Bachelor's,North,0,39825.75
137,18,0.0,Bachelor's,South,0,34092.62
138,42,4.6,High School,East,0,44623.4
139,24,3.8,Bachelor's,South,0,54636.43
140,26,1.2,Bachelor's,North,1,53159.14
141,41,1.3,Bachelor's,East,0,36226.2
142,18,5.3,Bachelor's,West,1,62030.88
143,29,0.6,High School,West,0,29105.89
144,25,6.3,Bachelor's,North,0,57120.74
145,41,1.2,High School,East,1,50248.53
146,48,4.3,Master's,North,1,67085.94
147,28,2.3,Master's,North,0,51587.51
148,36,4.2,Bachelor's,South,1,69507.35
149,34,1.9,High School,West,0,40116.35
150,25,2.7,High School,North,0,40893.65
151,20,3.1,High School,South,0,49036.17
152,20,1.0,Bachelor's,North,0,43435.93
153,18,4.5,High School,North,0,33512.31
154,44,2.0,Bachelor's,North,0,48084.05
155,22,2.5,High School,West,0,29668.36
156,27,1.0,Master's,East,0,50293.93
157,24,0.0,High School,West,0,21431.28
158,43,2.6,Master's,South,0,50519.56
159,26,7.8,Master's,East,1,76656.77
160,45,4.6,Bachelor's,South,0,47857.03
161,24,3.0,Bachelor's,North,1,55140.18
162,26,2.5,Bachelor's,East,0,50585.46
163,25,3.0,Bachelor's,South,0,43565.03
164,29,4.1,High School,North,0,45008.42
165,19,0.6,High School,South,0,27086.87
166,18,5.2,Bachelor's,South,1,62738.43
167,33,4.4,Bachelor's,West,1,62911.48
168,40,4.4,Bachelor's,North,1,56326.47
169,40,3.9,High School,West,1,45072.25
170,47,3.0,High School,East,0,41577.09
171,41,4.3,High School,North,1,58652.57
172,22,4.2,High School,West,0,42155.56
173,20,2.3,High School,West,1,44589.19
174,29,1.9,High School,East,0,36336.77
175,25,3.2,High School,South,0,39888.54
176,39,6.1,Master's,South,0,64508.63
177,44,0.5,High School,South,0,18924.13
178,20,0.1,Bachelor's,East,0,32849.33
179,18,3.3,High School,West,0,35762.41
180,20,3.1,Master's,North,0,55059.66
181,22,3.3,Bachelor's,East,1,58969.44
182,32,3.5,High School,South,0,43644.62
183,31,2.6,Bachelor's,South,0,46948.7
184,20,6.0,High School,North,1,51435.51
185,18,0.0,Bachelor's,East,0,45235.02
186,22,1.3,High School,South,0,40388.61
187,43,2.8,Master's,East,1,57089.48
188,40,0.0,Bachelor's,West,1,49663.53
189,48,2.6,High School,East,1,44967.75
190,31,6.3,Bachelor's,West,0,57663.14
191,24,3.0,High School,North,0,44391.87
192,44,3.5,Master's,West,1,76034.73
193,26,0.5,Bachelor's,West,0,43195.4
194,32,1.8,Bachelor's,North,1,54776.51
195,32,2.2,High School,South,0,35049.72
196,43,2.4,Master's,North,1,63004.38
197,27,5.6,Bachelor's,East,0,61488.72
198,45,4.1,High School,North,1,52122.6
199,30,0.8,High School,East,0,27900.69
200,36,3.5,High School,South,0,32380.58
201,48,4.0,Master's,East,0,59554.57
202,49,5.3,High School,North,1,57077.33
203,24,6.2,Bachelor's,North,0,53253.7
204,34,1.0,High School,South,0,38039.51
205,37,1.4,High School,North,1,42025.97
206,46,0.5,Bachelor's,South,0,38781.31
207,49,2.5,Master's,South,1,62512.56
208,21,3.9,Bachelor's,North,0,48043.39
209,47,5.0,Master's,West,1,71103.33
210,22,2.8,Bachelor's,East,0,52301.87
211,40,2.4,High School,West,0,31368.51
212,24,3.3,High School,South,1,52353.15
213,30,1.3,Bachelor's,East,1,52849.94
214,32,7.2,Master's,West,1,77306.05
215,28,0.0,Master's,North,1,59359.22
216,46,3.4,High School,West,0,40354.93
217,21,7.0,High School,East,0,53542.78
218,30,3.0,High School,East,0,42620.12
219,49,2.6,Master's,East,1,60337.94
220,24,2.3,Master's,East,0,53351.24
221,44,2.6,Bachelor's,West,1,54663.71
222,36,5.7,High School,North,0,46573.68
223,39,0.0,Bachelor's,North,1,46389.69
224,45,6.1,Bachelor's,East,0,58556.0
225,19,0.2,High School,North,0,30864.48
226,27,2.5,Bachelor's,West,1,57372.81
227,30,2.1,High School,North,1,46336.95
228,47,4.2,High School,South,0,34510.71
229,42,0.0,Master's,North,0,45156.84
230,38,3.9,Bachelor's,East,0,50090.73
231,23,7.0,Bachelor's,North,0,60358.84
232,45,0.3,Bachelor's,North,1,45852.31
233,45,3.4,High School,North,0,34160.89
234,29,1.7,Bachelor's,North,1,56151.14
235,29,3.9,Bachelor's,South,1,58187.29
236,37,3.0,Bachelor's,West,1,57971.11
237,47,1.7,Bachelor's,East,0,41743.78
238,47,4.0,High School,East,0,41896.92
239,28,6.6,High School,North,0,47579.66
240,49,2.6,Bachelor's,West,0,41014.16
241,43,4.4,High School,North,1,55687.21
242,40,0.4,Bachelor's,South,1,46224.76
243,45,1.1,High School,West,0,34081.14
244,42,3.9,High School,West,1,53886.74
245,24,6.0,High School,West,0,44970.63
246,47,3.7,Master's,West,1,60114.25
247,18,2.4,High School,North,0,49252.08
248,18,3.0,Bachelor's,South,0,44356.89
249,42,0.5,Bachelor's,West,0,42614.64
250,44,4.2,High School,East,1,62324.41
251,47,4.8,Bachelor's,East,0,56243.54
252,42,2.1,Bachelor's,South,0,42785.24
253,37,2.1,Bachelor's,East,1,53844.17
254,30,3.5,Master's,North,1,61432.23
255,26,2.1,High School,North,0,40788.16
256,20,2.9,High School,South,0,41434.56
257,24,7.2,Master's,West,1,74026.2
258,23,2.5,High School,East,1,42306.97
259,25,2.3,Bachelor's,East,0,38243.79
260,44,1.7,Bachelor's,South,1,58047.32
261,26,4.5,High School,South,1,54067.02
262,47,2.6,Bachelor's,East,1,56987.58
263,22,1.7,High School,West,0,30989.02
264,18,5.6,High School,South,1,49610.31
265,36,5.8,High School,North,1,62330.69
266,27,1.8,Master's,East,1,60607.65
267,29,0.0,High School,South,0,34536.17
268,41,5.0,Bachelor's,South,1,61115.42
269,32,1.6,Master's,South,0,48708.13
270,44,4.6,Bachelor's,East,1,65310.24
271,39,0.0,Bachelor's,North,0,41661.74
272,49,4.8,Bachelor's,North,1,66343.41
273,49,0.6,High School,East,0,30256.96
274,41,4.5,Bachelor's,South,1,64457.32
275,26,3.0,Bachelor's,East,0,52631.14
276,37,1.1,Master's,East,0,47752.5
277,34,2.2,Master's,South,1,58990.34
278,47,4.4,Master's,East,0,64831.65
279,34,3.2,Master's,West,0,51363.14
280,43,4.2,Bachelor's,North,0,53653.86
281,37,7.0,Bachelor's,West,1,68566.53
282,29,0.0,Master's,West,1,45792.17
283,47,6.2,High School,West,1,64346.25
284,24,3.2,Master's,East,0,40836.87
285,19,1.2,Bachelor's,South,0,31686.66
286,20,0.3,Bachelor's,East,1,51654.77
287,34,2.6,Bachelor's,North,0,48500.63
288,22,4.8,Master's,East,1,66342.0
289,34,2.7,High School,East,0,38973.82
290,41,6.0,Bachelor's,East,0,43409.78
291,34,0.1,Bachelor's,East,0,41827.82
292,44,3.0,High School,West,0,40176.09
293,34,0.5,Bachelor's,South,0,39257.43
294,19,3.7,Bachelor's,North,1,59286.0
295,19,4.8,Bachelor's,North,0,54787.6
296,45,2.2,High School,North,0,36330.92
297,39,0.0,Bachelor's,East,0,28629.72
298,40,3.4,Bachelor's,North,1,69175.35
299,22,3.9,Bachelor's,West,1,65624.44
300,49,3.8,High School,South,0,35001.05
301,18,5.5,Master's,East,0,59689.01
302,18,0.9,Bachelor's,East,0,39393.51
303,36,4.4,Bachelor's,West,1,66475.54
304,47,5.4,Bachelor's,North,0,43358.7
305,19,0.0,High School,East,1,37504.96
306,38,3.6,Bachelor's,East,0,40114.73
307,29,2.0,Bachelor's,West,0,42549.44
308,43,2.8,Bachelor's,West,0,44148.36
309,49,3.7,Bachelor's,North,0,49484.53
310,23,2.0,Bachelor's,South,0,41052.26
311,49,1.6,High School,South,0,31190.63
312,40,3.1,Bachelor's,North,1,60303.2
313,21,0.8,High School,South,1,44749.89
314,40,0.8,High School,West,0,35242.04
315,28,4.4,Master's,West,1,67191.74
316,41,0.7,Bachelor's,West,0,37248.54
317,44,4.3,Bachelor's,South,1,60403.61
318,34,3.9,Bachelor's,South,0,52281.36
319,48,0.0,Master's,East,1,44116.1
320,23,1.6,Bachelor's,East,0,44905.17
321,41,5.4,Bachelor's,East,0,55710.35
322,22,1.0,High School,South,0,33423.76
323,37,2.1,Master's,East,1,60467.01
324,19,3.9,Master's,West,1,53941.77
325,23,4.6,Master's,South,1,66501.08
326,39,2.5,High School,North,1,56437.96
327,28,1.8,High School,South,1,45479.45
328,48,5.8,High School,East,0,45997.77
329,33,6.5,High School,South,0,49517.93
330,33,5.0,Master's,East,1,71647.01
331,18,3.2,High School,East,1,52806.01
332,26,1.4,High School,North,1,43006.0
333,45,1.3,High School,North,0,36141.93
334,44,4.0,High School,West,0,50518.34
335,23,3.8,High School,East,1,56541.64
336,33,5.8,Bachelor's,South,1,77111.09
337,46,4.3,Bachelor's,North,1,57618.85
338,20,0.0,High School,North,0,38380.95
339,37,5.1,Bachelor's,East,0,49358.32
340,45,1.0,Bachelor's,South,0,42779.47
341,44,2.2,High School,North,0,40358.56
342,21,3.5,Bachelor's,North,1,55947.32
343,36,7.0,Bachelor's,South,1,69413.83
344,43,9.2,Bachelor's,North,1,80211.82
345,20,4.2,Bachelor's,South,1,57088.98
346,48,2.6,High School,East,0,46247.74
347,36,4.1,Master's,North,1,60284.05
348,37,4.8,Master's,East,1,79024.39
349,49,2.4,Master's,South,0,57082.62
350,24,6.6,High School,East,1,59322.64
351,37,3.5,Master's,East,0,53367.08
352,26,4.0,Master's,East,1,64451.32
353,18,4.3,Master's,West,0,57316.57
354,25,3.8,High School,South,1,51287.04
355,49,4.7,Bachelor's,South,0,58309.77
356,24,1.8,Master's,South,0,60139.75
357,35,1.9,Bachelor's,South,1,54647.09
358,25,0.8,Bachelor's,South,0,36170.93
359,18,3.9,Master's,North,0,53908.38
360,28,4.6,Bachelor's,North,1,60758.17
361,45,3.9,Bachelor's,North,0,44596.03
362,42,6.3,Bachelor's,East,1,61152.25
363,42,3.0,Master's,East,0,64452.06
364,35,4.3,High School,South,0,44525.52
365,40,0.8,Bachelor's,West,1,46284.13
366,48,2.2,Bachelor's,South,1,58760.42
367,47,4.4,Bachelor's,North,0,45281.5
368,27,4.7,Bachelor's,South,1,56614.55
369,20,2.4,Master's,East,0,48220.99
370,24,2.9,Master's,South,1,71842.97
371,45,0.0,High School,North,0,28735.6
372,33,2.3,Bachelor's,South,1,42649.29
373,43,4.8,High School,East,1,60392.63
374,33,4.2,High School,West,1,50919.32
375,42,4.0,Bachelor's,North,1,50756.95
376,37,3.1,Master's,South,1,62715.22
377,45,3.0,Master's,East,1,66647.4
378,34,1.7,High School,North,0,37058.32
379,19,4.4,High School,North,0,52185.05
380,18,3.8,Bachelor's,East,0,45262.0
381,33,4.0,Bachelor's,South,1,60185.71
382,47,1.9,High School,South,1,42345.94
383,29,0.0,Master's,South,1,47289.04
384,22,5.2,Master's,North,0,65010.55
385,22,2.0,Bachelor's,West,0,46443.32
386,49,1.3,Master's,North,0,50241.74
387,44,4.4,High School,South,1,55294.82
388,40,2.2,Bachelor's,North,0,41220.56
389,26,5.1,Bachelor's,West,0,48331.14
390,26,4.2,High School,North,0,42890.27
391,20,4.4,Master's,East,1,73907.47
392,36,0.3,Bachelor's,South,0,46844.65
393,33,5.4,Bachelor's,South,0,58248.83
394,33,3.5,High School,South,1,50713.38
395,20,2.3,High School,North,0,38133.26
396,37,3.3,High School,North,0,39918.3
397,41,0.0,Bachelor's,North,1,42870.28
398,39,3.8,Bachelor's,South,1,59575.15
399,41,0.9,High School,North,0,26149.64
400,18,0.3,Bachelor's,South,1,48263.59
401,41,0.0,Bachelor's,North,1,56180.53
402,37,5.2,Bachelor's,South,0,57790.43
403,28,1.7,Bachelor's,East,0,38608.82
404,34,6.1,Master's,North,1,72840.22
405,25,1.9,Bachelor's,South,1,49613.31
406,21,0.0,Bachelor's,East,0,37687.43
407,23,0.8,High School,East,1,47506.39
408,25,5.5,High School,West,0,49679.91
409,37,2.7,High School,North,1,60485.33
410,47,1.9,Bachelor's,South,1,59672.66
411,20,3.3,High School,West,0,40980.11
412,33,4.0,High School,North,0,45396.45
413,47,5.2,Bachelor's,East,0,52692.18
414,42,5.9,High School,North,1,52053.47
415,20,2.3,High School,South,0,43370.27
416,42,0.3,High School,East,1,46088.67
417,46,2.2,Bachelor's,West,0,43313.94
418,35,3.5,High School,North,0,41931.36
419,49,1.1,Bachelor's,North,0,47422.14
420,31,1.1,Bachelor's,West,1,55488.85
421,35,3.7,Bachelor's,North,0,41747.22
422,19,2.9,Bachelor's,North,0,47926.19
423,39,3.1,Master's,North,0,53358.62
424,20,1.5,High School,East,0,40014.03
425,33,2.5,High School,East,0,42772.81
426,46,1.2,High School,South,0,40047.64
427,26,4.8,High School,North,1,48751.72
428,21,5.1,High School,South,1,51290.94
429,18,0.0,High School,East,1,45570.41
430,21,1.1,Bachelor's,North,1,48464.71
431,18,0.0,Bachelor's,South,0,30413.66
432,31,1.7,High School,North,1,47762.84
433,38,2.8,Bachelor's,North,0,43763.28
434,33,0.1,High School,West,0,39251.08
435,37,1.2,High School,South,0,34949.76
436,41,1.0,Bachelor's,East,1,51777.55
437,49,3.4,High School,South,0,38397.38
438,25,3.1,High School,South,0,47370.24
439,24,1.6,Bachelor's,South,0,44462.35
440,20,3.4,Master's,West,1,63018.43
441,34,1.9,Bachelor's,North,0,39749.5
442,49,2.5,High School,East,0,37002.7
443,18,6.3,Master's,West,1,69152.48
444,33,5.7,Bachelor's,East,0,60187.15
445,29,0.4,Bachelor's,West,0,30160.8
446,44,4.7,Master's,North,1,68280.82
447,36,4.6,Bachelor's,East,0,54919.05
448,39,0.7,High School,South,1,43821.02
449,40,4.6,Bachelor's,West,0,48326.25
450,39,6.1,Bachelor's,East,1,69528.89
451,31,0.8,Bachelor's,North,1,45834.53
452,47,1.2,Bachelor's,East,1,51383.06
453,23,5.0,Master's,West,1,73365.18
454,23,3.5,Master's,North,1,67943.54
455,30,4.1,Master's,South,1,63933.66
456,36,3.7,Master's,West,1,72031.01
457,39,3.8,Master's,West,1,66777.65
458,25,0.3,High School,North,1,44756.14
459,44,5.1,High School,West,0,52929.41
460,44,5.3,Bachelor's,East,0,59605.14
461,19,2.5,Master's,South,0,58224.3
462,38,2.9,Bachelor's,East,1,57702.54
463,47,0.0,Bachelor's,North,1,51969.68
464,18,4.0,High School,West,1,53153.51
465,45,4.1,High School,South,0,36385.72
466,32,2.9,Bachelor's,North,1,58140.57
467,49,5.2,High School,East,1,57027.93
468,18,2.3,High School,West,0,39914.18
469,22,4.1,High School,West,1,51747.65
470,45,1.0,High School,North,0,29074.74
471,46,3.0,Bachelor's,East,1,60141.22
472,33,2.7,High School,West,0,31387.51
473,36,3.5,Bachelor's,East,1,65645.94
474,21,2.3,High School,South,0,35625.75
475,20,2.7,Master's,West,1,64438.81
476,49,4.7,High School,South,0,46749.07
477,34,2.1,Bachelor's,West,0,47332.85
478,49,0.0,Bachelor's,North,1,40955.08
479,34,6.5,High School,West,1,63617.94
480,29,5.8,Master's,West,1,73804.49
481,45,0.4,Bachelor's,East,0,36070.12
482,47,4.4,Bachelor's,East,1,57389.91
483,46,2.0,High School,South,0,34311.89
484,31,3.5,Master's,South,1,59087.21
485,38,3.6,Bachelor's,South,1,67376.68
486,23,2.5,High School,West,0,45024.31
487,20,1.4,High School,West,0,36555.91
488,45,1.6,Master's,South,1,58739.76
489,26,1.2,Bachelor's,North,0,40517.31
490,22,1.3,Bachelor's,North,0,45799.4
491,41,2.9,Bachelor's,West,1,65386.06
492,46,1.6,Bachelor's,North,1,49853.46
493,34,4.4,High School,North,1,47504.38
494,31,6.0,High School,South,0,55661.68
495,38,1.8,Bachelor's,North,0,34583.99
496,48,3.5,Master's,North,0,50393.77
497,20,4.0,High School,West,0,40763.82
498,45,3.9,Bachelor's,West,1,52029.85
499,18,3.2,Bachelor's,West,1,63016.48
500,37,4.5,Bachelor's,North,0,55740.62
501,48,4.0,Master's,South,0,54019.53
502,46,0.5,Bachelor's,East,1,55972.1
503,38,4.7,High School,West,1,61461.4
504,49,4.8,Master's,West,0,58757.89
505,40,1.5,Bachelor's,West,1,50166.94
506,18,3.1,Master's,South,0,65525.64
507,49,4.4,Bachelor's,East,1,64705.78
508,20,2.6,Master's,East,1,64025.74
509,49,5.1,High School,West,1,62255.6
510,35,7.7,High School,North,1,64692.89
511,42,1.4,Master's,West,1,56755.98
512,27,0.2,High School,West,1,41114.53
513,48,3.6,High School,North,1,56016.18
514,39,4.4,Bachelor's,North,0,41368.45
515,43,2.5,Master's,West,0,51174.65
516,20,5.9,High School,South,0,54634.85
517,25,0.3,Master's,South,1,53409.02
518,31,4.4,Bachelor's,North,1,68888.05
519,41,1.8,Bachelor's,West,0,50438.55
520,35,6.4,Master's,South,1,73988.62
521,49,7.0,Bachelor's,West,1,66112.4
522,32,1.5,High School,West,0,32963.27
523,39,1.9,High School,West,0,49025.73
524,40,4.7,Bachelor's,South,0,61529.65
525,19,2.2,Bachelor's,East,1,55304.17
526,48,2.9,Master's,West,1,60686.76
527,44,3.1,Bachelor's,South,0,47737.54
528,27,0.0,Bachelor's,East,0,39219.13
529,19,3.0,Bachelor's,North,1,50700.18
530,43,1.6,High School,South,1,45261.84
531,34,2.0,High School,East,0,42653.28
532,25,5.9,Master's,South,0,53665.01
533,18,0.5,High School,East,0,35593.88
534,26,4.6,High School,East,1,60753.22
535,28,2.4,Bachelor's,South,0,42523.44
536,39,2.4,Bachelor's,North,0,53792.32
537,33,4.6,Master's,West,1,65290.55
538,24,3.7,High School,East,0,43245.72
539,46,4.1,High School,West,0,40889.81
540,27,4.9,High School,North,1,53274.13
541,40,2.3,Bachelor's,West,1,51925.65
542,43,1.8,High School,West,0,38819.46
543,20,0.8,Bachelor's,South,0,44733.12
544,35,1.3,Master's,South,0,48725.43
545,42,8.9,Master's,North,0,64894.73
546,41,5.5,High School,South,1,58483.93
547,30,0.3,Bachelor's,East,0,41003.63
548,45,0.4,Bachelor's,North,0,37981.68
549,43,4.0,Master's,South,0,66227.35
550,24,4.1,Master's,South,1,59463.94
551,42,4.1,High School,North,0,31206.88
552,21,2.5,Bachelor's,East,1,51816.09
553,30,2.7,High School,North,1,51799.4
554,37,3.7,High School,South,1,45688.05
555,18,3.2,High School,South,0,34610.5
556,25,0.0,Bachelor's,North,0,42755.11
557,49,2.5,Bachelor's,East,1,57933.94
558,31,1.3,High School,East,1,45776.87
559,33,3.4,Bachelor's,West,0,51958.41
560,31,9.0,High School,East,1,64785.59
561,29,3.7,Bachelor's,North,0,47309.97
562,36,2.4,High School,East,0,41167.72
563,40,4.8,High School,East,1,47806.38
564,32,4.0,Bachelor's,West,1,49182.53
565,45,3.8,High School,East,0,39354.15
566,19,4.2,Bachelor's,West,1,65295.47
567,19,7.1,High School,West,0,52617.06
568,49,0.7,Bachelor's,East,0,44501.13
569,40,3.9,High School,South,1,41760.32
570,48,1.1,Bachelor's,North,1,53019.2
571,39,4.1,Bachelor's,North,0,53602.4
572,36,1.2,High School,East,0,26733.89
573,42,2.2,Bachelor's,North,0,48806.09
574,43,2.4,High School,North,0,36671.87
575,48,5.0,Bachelor's,West,1,78211.58
576,47,4.8,High School,South,0,33624.55
577,46,0.5,Bachelor's,North,1,56371.27
578,39,3.1,Bachelor's,South,1,55358.81
579,43,1.6,Master's,North,1,51656.76
580,43,0.5,Bachelor's,South,0,36814.19
581,39,2.6,Bachelor's,South,1,57085.29
582,34,2.4,Bachelor's,North,1,60336.44
583,37,7.9,Master's,West,1,87170.12
584,27,3.9,Bachelor's,South,1,66707.22
585,23,0.2,High School,South,0,25907.38
586,32,1.9,Master's,North,0,56262.18
587,39,5.0,Bachelor's,South,1,65084.72
588,28,7.2,Master's,South,0,63257.64
589,45,0.0,Master's,West,1,53940.45
590,22,0.0,High School,South,0,26450.79
591,18,6.7,Bachelor's,West,1,68411.25
592,25,3.8,High School,South,0,37689.4
593,38,1.3,High School,South,0,28650.27
594,45,4.1,High School,West,0,44603.37
595,29,0.0,Bachelor's,West,0,41143.65
596,29,3.0,High School,East,0,38082.27
597,22,3.7,High School,South,1,57805.18
598,24,4.8,Bachelor's,West,1,61243.47
599,21,1.0,High School,South,0,31402.75
600,23,3.2,High School,South,0,42816.57
601,30,1.1,High School,South,0,32785.32
602,49,3.5,High School,North,0,40956.29
603,37,1.2,Bachelor's,East,0,29025.73
604,47,2.2,High School,North,0,36634.93
605,32,1.0,Master's,East,1,48889.13
606,20,4.3,Bachelor's,South,0,44802.06
607,40,4.7,High School,South,0,37474.09
608,25,2.5,High School,West,0,32379.36
609,37,3.1,Bachelor's,East,1,54485.16
610,33,0.1,Bachelor's,East,0,35875.99
611,30,2.4,High School,North,0,40523.32
612,35,2.9,High School,East,1,49810.71
613,45,8.2,Master's,South,0,60219.39
614,27,0.8,High School,West,0,32744.67
615,47,5.9,High School,North,0,49376.34
616,36,5.0,Master's,West,1,68338.32
617,34,3.6,Bachelor's,East,1,58379.39
618,41,6.5,High School,East,0,50503.27
619,48,3.7,Bachelor's,North,1,63055.63
620,36,3.8,High School,East,1,43460.56
621,45,2.9,Bachelor's,West,1,55459.69
622,43,5.4,Bachelor's,South,0,61883.09
623,40,5.2,Master's,North,0,67662.12
624,43,1.7,Master's,East,1,64500.62
625,22,0.4,Master's,West,0,48768.64
626,43,2.6,Master's,South,1,71055.29
627,38,1.4,Bachelor's,East,1,61789.01
628,47,2.9,High School,North,0,37973.45
629,40,5.5,Bachelor's,East,1,59577.47
630,48,2.1,Bachelor's,East,1,52904.73
631,26,2.9,Master's,East,0,69226.54
632,29,3.1,High School,South,1,41501.35
633,38,4.7,Master's,South,1,66737.89
634,18,0.0,Master's,East,1,47936.54
635,43,1.8,Master's,East,0,50983.62
636,43,3.4,Master's,North,0,49254.25
637,18,5.4,High School,East,0,45656.72
